id,question,choice_1,answer_1,choice_2,answer_2,choice_3,answer_3,choice_4,answer_4,choice_5,answer_5,media_exist,media_name,description
168,Qaysi javobda shatakka olingan transport vositasidagi yoritish asboblarini yoqishning to'gʻri holati ko'rsatilgan?,Kunning qorongʻi vaqtida yoki tuman bo'lgan sharoitda faralarning yaqinni yoritish chiroqlari,False,"Avariya yorugʻlik ishoralari, u nosoz bo'lganda yoki bo'lmagan hollarda uning orqa tomoniga avariya sababli to'xtash belgisi o'rnatilishi kerak",True,Aholi punktlarida gabarit chiroqlari,False,Aholi punktlaridan tashqaridagi yoʻllarda istalgan yoritish chiroqlarini,False,,,False,1,"YHQ 8-bobi 50-bandi 4-xatboshiga asosan, avariya yorugʻlik ishoralari quyidagi hollarda yoqilishi kerak: shatakka olishda (shatakka olingan transport vositasida). YHQ 8-bobi 52-bandiga muvofiq, shatakka olingan transport vositasida avariya yorugʻlik ishoralari nosoz boʻlganda yoki bo'lmagan hollarda uning orqa tomoniga avariya sababli to'xtash belgisi o'rnatilishi kerak."
169,Quyidagi 3.27 «To'xtash taqiqlangan» belgisining amal qilish chegarasi qayerda tugaydi?,Birinchi chorrahada,False,Aholi yashaydigan joyning oxirida,False,Yo'lning yotiq sariq chizig'i oxirida,True,,,,,True,169,"YHQ 1-ilovasining 3-boʻlimi 11-xatboshiga asosan, 3.27 belgisi 1.4 yotiq chizig'i bilan birgalikda, 3.28 belgisi esa 1.10 yotiq chizig'i bilan birgalikda qo'llanishi mumkin, bunda belgilarga amal qilish chiziqlar uzunligi bilan aniqlanadi."
170,M1 toifadagi transport vositalari shinalari protektori naqshining qoldiq balandligi necha mm.dan kam bo'lmasligi kerak?,"0,8 mm",False,"1,0 mm",False,"1,6 mm",True,"2,0 mm",False,"2,5 mm",False,False,1,"YHQ 3-ilovasining 5-boʻlimi 5.1-bandiga asosan, transport vositalaridan foydalanishni taqiqlovchi shartlar – M1, N1, 01, 02 toifali transport vositalari shinalari protektori naqshlarining qoldiq balandligi 1,6 mm.dan kam bo'lsa."
171,"Agar tuproq yo'lda bevosita chorraha oldida to'shamali (qoplamali) yo'l qismi bo'lsa, bu uni kesib o'tayotgan asosiy yo'l bilan teng huquqli qiladimi?",Yo'q,True,Ha,False,,,,,,,False,1,"YHQ 1-bobi 6-bandiga asosan, asosiy yo'l – tuproqli yoʻlga nisbatan qattiq qoplamali (asfalt va sement betonli, tosh yotqizilgan va shunga o'xshashlar), kesishayotgan yoki tutashgan yo'lga nisbatan 2.1, 2.3.1-2.3.3 yoki 5.1 belgilari bilan belgilangan yo'l yoxud yondosh hududdan chiqadigan yo'lga nisbatan har qanday yo'l. Ikkinchi darajali yo'lning bevosita chorrahaga tutash qatnov qismi qoplamali bo'lishi uni asosiy yo'l bilan teng huquqli qilmaydi."
172,Taqiqlovchi belgi yoʻlning haydovchi to'xtagan qismiga ta'sir qiladimi?,Ta'sir qiladi,True,Ta'sir qilmaydi,False,,,,,,,True,172,"YHQ 1-ilovasining 3-boʻlimi 5-xatboshiga asosan, 3.16, 3.20, 3.22, 3.24, 3.26-3.30 belgilarining ta'siri belgi oʻrnatilgan joydan keyingi eng yaqin chorrahagacha, chorrahasi bo'lmagan aholi punktlarida aholi yashaydigan hududning oxirigacha, yo'lga yondosh hududlardan dala va oʻrmonlarning yo'l bilan tutashgan hamda ikkinchi darajali yo'llardan chiqish joylarigacha, ularning oldida tegishli belgilar oʻrnatilmagan bo'lsa, bu belgilarning ta'siri yo'qolmaydi."
173,Aholi punktlaridan tashqarida qaysi belgi takrorlanadi?,1,False,2,False,3,True,4,False,5,False,True,173,"YHQ 1-ilovasining 1-boʻlimiga asosan, aholi punktlaridan tashqarida 1.1, 1.2, 1.9, 1.10, 1.21 va 1.23 belgilari takrorlanadi. Ikkinchi belgi yo'lning xavfli qismi boshlanishiga kamida 50 metr qolganda o'rnatiladi."
174,Yo'lning oʻrtasida joylashgan bekatda to'xtagan yo'lakay yo'nalishli tramvay yonidan o'tayotganda haydovchi nima qilishi kerak?,To'xtashi kerak va tramvay eshiklarini yopganidan so'ng qo'zg'alishi kerak,False,To'xtab turgan tramvayga ketayotgan yoki undan tushayotgan yoʻlovchilarga yo'l berishi kerak,True,,,,,,,False,1,"YHQ 17-bobi 114-bandiga asosan, agar yoʻlovchilarni tushirish yoki chiqarish qatnov qismida yoki unda joylashgan maydonchada amalga oshirilayotgan bo'lsa, haydovchi bekatda toʻxtagan belgilangan yo'nalishdagi transport vositasi eshiklari tomon borayotgan yoki undan kelayotgan piyodalarga yo'l berishi kerak."
175,Chorrahadan oxirgi boʻlib qaysi avtomobil o'tadi?,Ko'k avtomobil,False,Sariq avtomobil,False,Yashil avtomobil,True,Qizil avtomobil,False,,,True,175,"YHQ 16-bobi 104-bandiga asosan, teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorrahada, keyingi harakat yoʻnalishidan qat'i nazar, asosiy yo'ldan kelayotgan transport vositasiga ikkinchi darajali yo'ldan kelayotgan transport vositasining haydovchisi yo'l berishi kerak. YHQ 16-bobi 107-bandiga asosan, chapga burilishda yoki qayrilib olishda relssiz transport vositasining haydovchisi teng ahamiyatli yo'ldan qarama-qarshi yo'nalishdan to'g'riga yoki o'ngga harakatlanayotgan, shuningdek, ruxsat etilgan hollarda quvib o'tayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham oʻzaro amal qilishlari kerak."
176,Kunning qorong'u vaqtida yoʻlning yoritilmagan qismlarida harakatlanayotganda mexanik transport vositasining qaysi chiroqlari yoqilgan boʻlishi kerak?,Yaqinni yoki uzoqni yorituvchi faralar,True,Faqat yaqinni yorituvchi faralar,False,Faqat uzoqni yorituvchi faralar,False,,,,,False,1,"YHQ 23-bobi 134-bandi 2-xatboshiga asosan, qorong'i vaqtda va yetarlicha koʻrinmaslik sharoitlarida harakatlanayotgan barcha transport vositalari: yo'lning yoritilmagan qismida uzoqni yoki yaqinni yorituvchi fara chiroqlarini yoqishlari kerak."
177,Qayrilib olish taqiqlanadi:,Piyodalar oʻtish joylarida,False,Tonellarda,False,"Ko'priklarda, osma yo'llarda, estakadalarda va ularning ostida",False,Temir yo'l kesishmalarida,False,Hamma sanab o'tilgan hollarda,True,False,1,"YHQ 9-bobi 62-bandiga asosan, quyidagi joylarda qayrilib olish taqiqlanadi: piyodalarning o'tish joylarida; tonnellarda; ko'priklar, osma yoʻl(estakada)lar, osma ko'priklar va ularning ostida, temir yo'l kesishmalarida."
178,Yashil avtomobil haydovchisi:,Bir xil yo'nalishda to'g'riga harakatlanayotgan ko'k avtomobilga yo'l berishi kerak,True,"Ko'k avtomobilga nisbatan ustunlikka ega, chunki quvib o'tish uchun mo'ljallangan boʻlakdan ketmoqda",False,"Ustunlikka ega, chunki burilish ishorasini yoqdi",False,,,,,True,178,"YHQ 9-bobi 55-bandi 1-xatboshiga asosan, haydovchi qayta tizilishda yon bo'lakda yo'lakay harakat yo'nalishini o'zgartirmasdan ketayotgan transport vositalariga yo'l berishi kerak."
179,"Qattiq yoki egiluvchan ulagich yordamida shatakka olinganda, yuk avtomobilining yukxonasida odamlarni tashishga ruxsat etiladimi?",Shatakka olgan va shatakka olingan avtomobillarning yukxonasida ruxsat etiladi,False,Faqat shatakka olingan avtomobil yukxonasida ruxsat etiladi,False,Faqat shatakka olgan avtomobil yukxonasida ruxsat etiladi,True,,,,,False,1,"YHQ 24-bobi 143-bandiga asosan, qattiq yoki egiluvchan ulagich yordamida shatakka olingan avtobusda, trolleybusda va yuk avtomobili yukxonasida odam tashish, qisman ortish yo'li bilan shatakka olishda esa shatakka olingan transport vositasining kabinasida va yukxonasida, shuningdek, shatakka olgan transport vositasining yukxonasida odamlar boʻlishi taqiqlanadi."
180,Transport vositalaridan qanday shartlarda foydalanishga ruxsat etiladi?,Shinalarning ayrim joylarida kord koʻrinib qoladigan nuqsonlari bor,False,M1 toifadagi avtotransport vositalarining oldingi o'qiga ikkinchi klassdagi ta'mirlangan shinalar o'rnatilgan,False,"N2, N3 toifadagi transport vositalari shinalari protektori naqshining qoldiq balandligi 1,6 mm.ni tashkil qiladi",True,,,,,False,1,"YHQ 3-ilovasining 5-boʻlimiga 5.2-bandiga asosan, transport vositalaridan foydalanishni taqiqlovchi shartlar shinalarning ba'zi joylari shikastlangan yoki boshqa nuqsonlarga (kesilgan, yorilgan) ega bo'lsa; M1, M2, M3 toifalarni I klassdagi avtotransport vositalarini oldingi o'qiga M3 toifali II va III klassidagi avtotransport vositalarini o'rta va orqa o'qlari ikkinchi ta'mirlash klassi bo'yicha qayta tiklangan shinalar o'rnatilgan boʻlsa; 5.1 bandiga binoan N2, N3, 03,04 toifadagi avtotransport vositalari shina protektorlari naqshlarining qoldiq balandligi 1 mm.dan kam boʻlsa; M1, N1, 01, 02 toifadagi avtotransport vositalari shina protektori naqshlarining qoldiq balandligi 1,6 mm.dan va M2, M3 toifadagi avtotransport vositalari shina protektorlari naqshlarining qoldiq balandligi 2 mm.dan hamda mototsikl,mopedlarda 0,8mm.dan kam bo'lsa."
181,Yoʻl-transport hodisasiga daxldor bo'lgan haydovchilar birinchi navbatda bajarishlari shart:,"Hodisa sodir bo'lgan joyda toʻxtash, guvohlarning ismi-sharifi va manzilini yozib olish, hodisa haqida militsiyaga xabar berish, shikastlanganlarga shifokor kelguncha tibbiy yordam berish uchun choralar ko'rish",False,"Darhol to'xtash va hodisa sodir boʻlgan joyda qolish, falokat majburiy to'xtash yoritgichini yoqish va falokat sababli to'xtash belgisini o'rnatish",True,"To'xtash va hodisaga tegishli izlarni saqlash, ularning atrofini to'sib, hodisa sodir bo'lgan joyni aylanib o'tishni tashkil etish uchun hamma mumkin bo'lgan choralarni ko'rish, militsiyaga xabar berish, tibbiy yordam berish",False,,,,,False,1,"YHQ 3-bobi 13-bandi 1-xatboshiga asosan, yo'l-transport hodisasi sodir bo'lganda unga daxldor haydovchilar quyidagilarni bajarishlari shart: transport vositasini darhol to'xtatishi, falokat yorugʻlik ishoralarini yoki falokat sababli to'xtash belgisi (miltillovchi qizil chiroq)ni o'rnatishi, transport vositasini va hodisaga daxldor buyumlarni joyidan qo'zg'atmasligi."
182,Belgi ostidagi qo'shimcha axborot belgisi nimani bildiradi?,Belgidan birinchi burilishning boshlanishigacha bo'lgan masofani,False,Birinchi burilishdan ikkinchi burilishning boshlanishigacha bo'lgan masofani,False,Yoʻlning xavfli burilishlari boʻlgan qatnov uzunligini,True,,,,,True,182,"YHQ 1-ilovasining 7-boʻlimidagi 7.2.1 qo'shimcha belgiga asosan, «Ta'sir oralig'i» belgisi ogohlantiruvchi, taqiqlovchi, buyuruvchi, axborot-ishora belgilarining ta'sir oralig'ini ko'rsatadi. Ogohlantiruvchi, taqiqlovchi, buyuruvchi, axborot-ishora yo'l belgilarining tagida mazkur yo'l belgisining ta'sir orqalig'ini ko'rsatuvchi 7.2.1 qo'shimcha axborot belgisi o'rnatilgan bo'lsa, yo'l belgilarining ta'sir oralig'i oxirini koʻrsatuvchi yo'l belgisi o'rnatilishi shart emas."
183,Qaysi belgi «To'siqni chapdan chetlab o'tish» deb ataladi?,1,False,2,False,3,True,4,False,5,False,True,183,"YHQ 1-ilovasining 4-boʻlimi 4.2.2 belgisi talabiga asosan, «To'siqni chapdan chetlab o'tish» belgisi to'siqni ko'rsatilgan yo'nalish bo'yicha chetlab o'tishga ruxsat beradi."
184,Qaysi transport vositasining haydovchisi yoʻl berishi kerak?,Velosiped haydovchisi,False,Avtomobil haydovchisi,True,,,,,,,True,184,"YHQ 16-bobi 107-bandiga asosan, chapga burilishda yoki qayrilib olishda relssiz transport vositasining haydovchisi teng ahamiyatli yo'ldan qarama-qarshi yo'nalishdan toʻgʻriga yoki oʻngga harakatlanayotgan, shuningdek ruxsat etilgan hollarda quvib o'tayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak."
185,Chorrahadan birinchi bo'lib o'tadi:,Yashil avtomobil,False,Ko'k avtomobil,False,Qizil avtomobil,True,Sariq avtomobil,False,,,True,185,"YHQ 16-bobi 104-bandiga asosan, teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorrahada, keyingi harakat yo'nalishidan qat'i nazar, asosiy yo'ldan kelayotgan transport vositasiga ikkinchi darajali yo'ldan kelayotgan transport vositasining haydovchisi yo'l berishi kerak. YHQ 16-bobi 107-bandiga asosan, chapga burilishda yoki qayrilib olishda relssiz transport vositasining haydovchisi teng ahamiyatli yo'ldan qarama-qarshi yo'nalishdan to'g'riga yoki o'ngga harakatlanayotgan, shuningdek, ruxsat etilgan hollarda quvib o'tayotgan transport vositalariga yoʻl berishi shart. Bu qoidaga tramvay haydovchilari ham oʻzaro amal qilishlari kerak. Bunday chorrahalarda tramvay harakatlanish yo'nalishidan qat'iy nazar, teng ahamiyatga ega bo'lgan yoʻllarda bir yo'nalishda yoki qarama qarshi yo'nalishda harakatlanayotgan relssiz transport vositalariga nisbatan imtiyozga ega."
186,Ishchi tormozi to'satdan ishlamay qolganda avtomobilni qanday to'xtatish kerak?,"Eng past uzatmaga o'tish, to'xtab turish tormozi bilan tormozlash. Zarur bo'lganda biron-bir to'siqdan foydalanish",True,Ulagichni ajratish va to'xtab turish tormozi bilan keskin tormozlash,False,,,,,,,True,186,"Ishlayotgan tormozning birdan ishdan chiqishi holati alomatlari ko'p: avtomobil tezligi, to'xtab turish tormozining ishlash qobiliyati, harakat oqimining zichligi, yo'l kengligi, piyodalar, ko'kalamzorlashtirilgan joylar, qurilayotgan imoratlarning zichligi, qarama-qarshi yo'nalishda kelayotgan transport vositalarining zichligi va boshqalar. Shuningdek, ko'pgina toʻxtamlarga kelish mumkin. 'Tormoz ishlamay qolganda nima qilish kerak?' degan savolga barcha holatlarga to'g'ri keladigan javob berib bo'lmaydi. Shunday qilib, xavfli vaziyatda eng asosiy narsa bu: oʻziga ishonish va osoyishtalikni saqlash; kelib chiqqan holatni tezda baholash; inson hayotiga xavf-xatar solmaydigan va ziyon yetkazmaydigan qaror qabul qilish va qabul qilingan qarorni amalga oshirayotgan vaqtda vaziyatning o'zgarishi natijasida taktikani o'zgartirishga tayyor turish."
187,Qayrilish taqiqlanadi:,Chorrahaga 15 metrdan yaqinroqda,False,"Tartibga solinmaydigan chorrahalarda, agar kesib o'tilayotgan yoʻlda bir tomonlama harakatlanish tashkil etilgan bo'lsa",False,Piyodalar o'tish joylarida,True,Hamma sanab o'tilgan hollarda,False,,,False,1,"YHQ 9-bobi 69-bandi 1 -xatboshiga asosan, piyodalarning o'tish joylarida qayrilib olish taqiqlanadi."
188,Shatakka olingan mexanik transport vositasida qaysi tashqi yoritish chiroqlari yoqilgan bo'lishi kerak?,"Kunning qorong'i vaqtida, gabarit chiroqlarini",False,Yaqinni yorituvchi fara chiroqlari,False,Falokat yorug'lik ishoralari,True,,,,,False,1,"YHQ 8-bobi 50-bandi 6-xatboshiga asosan, falokat yorugʻlik ishoralari quyidagi hollarda yoqilishi kerak: shatakka olishda (shatakka olingan transport vositasida)."
189,Qon oqishini to'xtatuvchi jgut qo'l-oyoqlarni qayeridan bogʻlanadi?,Yaradan 10-15 sm pastga,False,Yaradan 10-15 sm yuqoriga,True,Bevosita yaraning oʻziga,False,,,,,False,1,"Ugut qo'yilishi deyarli barcha hollarda arterial qon ketishini to'xtatadi. Arterial qon ketishini to'xtatish uchun jgut avtomobilning tibbiy qutichasida ham mavjud. Jgut bo'lmagan hollarda kamar, belbog', podtyajkalar va boshqa shunga o'xshash vositalar qo'llanilishi mumkin. Jgut qo'l yoki oyoqqa qon ketish joyidan yuqoriroq joyga ikki-uch marta aylantirilib, faqat kiyim ustidan qo'yiladi yoki uning tagiga bir necha qatlamdan iborat (dast)ro'mol, sochiq yoxud boshqa gazlamadan astar qo'yiladi. Jgutni cho'zib mahkamlash qon ketishi to'xtagan vaqtda to'xtatiladi. Jgutga u qo'yilgan vaqtni ko'rsatuvchi kichik qaydnoma qistirib qo'yiladi."
190,Mototsikl shinalari naqshining qoldiq chuqurligi qanchadan kam bo'lmasligi kerak?,"0,5 mm",False,"0,8 mm",True,"1,0 mm",False,"1,6 mm",False,"2,0 mm",False,False,1,"YHQ 3-ilovasining 5-boʻlimi 5.1-bandiga asosan, transport vositalaridan foydalanishni taqiqlovchi shartlar: yengil avtomobillar shinasi naqshlari izlarining chuqurligi 1,6 mm.dan, yuk avtomobillarniki – 1,0 mm.dan, avtobuslarniki - 2,0 mm.dan, mototsikl va mopedlarniki (skuterlar, kvadrotsikllar)-0,8 mm.dan kam boʻlsa."
191,Qaysi transport vositasining haydovchisi birinchi navbatda harakatlanish ustunligiga ega?,Yo'l xizmati mashinasining haydovchisi,False,Yengil avtomobil haydovchisi,True,,,,,,,True,191,"YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. YHQ 6-bobi 29-bandiga asosan, zarg'aldoq yoki sariq rangli chiroq-mayoqchasi yoqilgan transport vositasi haydovchilari yo'l qurulishi ta'mirlanishi va tozalanishi jarayonida xamda texnik shikastlangan, nosoz bo'lgan, shuningdek qonunda ko'zda tutilgan hollarda boshqa transport vositalarini ortishda yo'l harakati xavfsizligini ta'minlash sharti bilan, Qoidalar Yo'l belgilari (2.2, 2.4.-2.6,3.11.-3.14,3.17.2,3.20 yo'l belgilaridan tashqari) yo'l chiziqlari hamda 67-71 va 121 bandlari talablaridan chetga chiqishlari mumkin."
192,Bu belgilarning qaysi biri «Bir tomonlama harakatlanish yoʻliga chiqish»ni bildiradi?,Birinchi va beshinchi,True,Uchinchi va beshinchi,False,Ikkinchi va to'rtinchi,False,,,,,True,192,"YHQ 1-ilovasining 5-boʻlimidagi 5.7.1, 5.7.2 belgilariga asosan, «Bir tomonlama harakatlanish yoʻliga chiqish» belgisi harakatlanish bir tomonlama boʻlgan yo'lga yoki qatnov qismiga chiqishni bildiradi."
193,Qaysi yo'nalishlarda harakatlanishga ruxsat etiladi?,A yo'nalishda,False,B yo'nalishda,False,V yo'nalishda,False,"A, B va V yo'nalishlarida",True,B va V yo'nalishlarida,False,True,193,"YHQ 2-ilovasining 1-boʻlimi 1.11 chizig'iga asosan, ushbu chiziq faqat biror bo'lakka qayta tizilishga ruxsat etadi, bir yoʻnalishdagi yoki qarama-qarshi kelayotgan transport oqimlarini ajratadi; qayrilib olish, to'xtash maydonchalari va shunga o'xshashlarga kirish uchun mo'ljallangan joylarda manyour faqat bir yo'nalishda ruxsat etilganligini ko'rsatadi. 1.11 chizig'ini uzuq-uzuq tomondan, shuningdek, sidirg'a chiziq tomonidan esa faqat quvib yoki chetlab o'tishni tugatayotganda bosib o'tishga ruxsat etiladi"
194,Quyidagi hollarning qaysi birida temir yo'l kesishmasiga kirish taqiqlanadi?,Svetoforning taqiqlovchi ishorasi yonganda shlagbaum ochiq turgan holatda,True,Qishloq xo'jaligi mashinasini mexanik transport vositasiga yuklab olib o'tish holatida,False,Tezligi 8 km/soatdan ko'p bo'lgan transport vositalari,False,,,,,False,1,"YHQ 18-bobi 118-bandiga asosan, temir yo'l kesishmasiga kirish quyidagi hollarda taqiqlanadi: shlagbaumning bor-yoʻqligidan, uning holatidan qat'i nazar, svetoforning taqiqlovchi ishorasida."
195,Avtomobillar chorrahadan quyidagi tartibda o'tadi:,"Qizil, yashil ko'k,",False,"Ko'k, qizil, yashil",False,Uchchalasi bir vaqtda,True,,,,,True,195,"YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart."
196,Yoʻlovchilarning va mahkamlanmagan yukning shiddat bilan oldinga surilib ketishiga nima sabab boʻlishi mumkin?,Faqat tezlikni keskin oshirish,False,Faqat keskin tormozlash,True,Tezlikni keskin oshirish va keskin tormozlash,False,,,,,True,196,"Haydovchi, yo'lovchilar hamda mahkamlanmagan yuk birdan tormozlash, to'qnashuv yoki avtomobilning keskin to'xtashidan keyin avtomobil toʻxtashidan oldin mavjud harakat tezligini saqlagan holda harakatda davom etadilar. Aynan shu vaqtda jarohatlarning ko'pgina qismi boshning old peshoynaga, koʻkrak qismining rul chambaragi va rul kolonkasiga, tizzaning asboblar o'rnatilgan shchit qirrasiga urilishi natijasida yuzaga keladi. Yuk siljishi natijasida avtomobil muvozanatini yo'qotib, ag'darilishi mumkin. Shu bois, harakatdan oldin haydovchi va yo'lovilar xavfsizlik kamarini taqishi, yuk mahkamlanishi lozim."
197,Kunduzgi vaqtda transportning old yoki orqa tomoniga 1 metrdan ortiq chiqib turgan yuk qanday belgilanadi?,Diagonali bo'yicha qizil va oq chiziqlari bo'lgan taxtacha yoki bayroqchalar bilan,True,Qizil bayroqchalar bilan,False,Oq bayroqchalar bilan,False,,,,,False,1,"YHQ 27, 29-boblarining 163, 176-bandlariga asosan, transport vositasining gabaritlaridan old yoki orqa tomonga 1 metrdan, gabarit chiroqlarining chetki qismidan 0,4 metrdan ortiq chiqib turgan yuk 'Katta o'lchamli yuk' (eniga kengligi 50 millimetrli, diagonal bo'yicha galma-gal joylashgan qizil va oq rangli chiziqlar tushirilgan, nur qaytaradigan yuzali, o'lchami 400x400 millimetrli kvadrat shaklidagi bayroqcha yoki taxtacha) belgisi bilan belgilanishi kerak."
198,Bu yotiq chiziq quyidagi vazifani bajaradi:,Maxsus piyodalar yoʻlkasini bildiradi,False,"Velosiped yoʻlkasini bildiradi, chiziq yo'naltirgichlari bo'laklar bo'yicha harakat yo'nalishini ko'rsatadi",False,"Piyodalar o'tish joyini bildiradi, chiziq yo'naltirgichlari piyodalar harakatlanish yo'nalishini ko'rsatadi",True,,,,,True,198,YHQ 2-ilovasining 1-boʻlimi 1.14.2 chizig'i yoʻlning harakat tartibga solinmagan qismida piyodalarning o'tish joyini belgilaydi. Belgining ishorali yo'naltirgichlari piyodalarning harakatlanish yo'nalishini ko'rsatadi.
199,Sirpanchiq yoʻlda karbyuratorning drossel zaslonkasini keskin ochish qanday xavfli oqibatlarga olib kelishi mumkin?,Karbyurator qismlari ishdan chiqishiga,False,Yurgizgich ishlashdan to'xtab qolishiga,False,Avtomobilning yonga sirpanib ketishiga,True,,,,,False,1,"Sirpanchiq yo'lda surilish hollari avtomobil g'ildiraklarining shataksirashi (joyida aylanishi) natijasida harakatning birdan tezlashishidan kelib chiqadi. Bu holda surilish sabablarini bartaraf qilish, ya'ni yonilg'i o'tishini boshqaruvchi tepkisini (drossel zaslonkasini) bosishni kamaytirish lozim."
200,Yuk avtomobilining yukxonasida qancha miqdorda odamlarni tashishga ruxsat etiladi?,20 nafar kishidan ortiq emas,False,"Tashilayotgan odamlar soni, o'tirish uchun jihozlangan o'rindiqlar miqdoridan ortiq bo'lmasligi kerak",True,Haydovchining xohishiga ko'ra,False,Ma'muriyatning ko'rsatmasiga ko'ra,False,,,False,1,"YHQ 26-bobi 154-bandiga asosan, yuk avtomobillarida tashiladigan odamlar soni jihozlangan o'rindiqlar sonidan oshmasligi kerak."
201,"Yaltirovchi ko'k mayoqcha va unga qo'shimcha maxsus tovushli ishorasi yoqilgan transport vositasi sizga yaqinlashib kelmoqda. Siz shunday transport vositasiga qarshi harakatlanayotganboʻlsangiz, nima qilishingiz lozim?",Yo'l yoqasida yoki qatnov kismining chetida to'xtash,False,Mayoqcha ishorasi yoqilgan transport vositasiga halaqit bermasdan yo'l chetidan harakatlanish,True,,,,,,,False,1,"YHQ 6-bobi 26-bandiga asosan, haydovchilar ko'k yoki ko'k va qizil rangli chiroq-mayoqcha va maxsus tovushli ishoralarni yoqqan holda yaqinlashib kelayotgan transport vositalariga, shuningdek, ularning kuzatuvidagi yaqinni yorituvchi chiroqlari yoqilgan transport vositalariga yo'l berishlari, zarur bo'lgan hollarda ularning to'siqsiz o'tib ketishlari uchun o'zlari boshqarib borayotgan transport vositalarini yoʻlning o'ng tomoniga olib to'xtatishlari shart."
202,Koʻrsatilgan belgi ostidagi qo'shimcha axborot belgisi qanday maqsadda o'rnatilgan?,Belgining amal qilish hududida foto va video moslamalardan foydalanish ta'qiqlanadi.,False,DYHXX tomonidan harakat jarayoni foto va video kuzatuviga olingan yo'l qismini bildiradi.,True,,,,,,,True,202,YHQ 1-ilovasining 7-boʻlimi 7.19 belgisi yo'l harakati qatnashchilarining harakatlari maxsus avtomatlashtirilgan foto va video qayd etish texnika vositalari orqali qayd etilayotganligini bildiradi.
203,Yo'naltirgichlar bilan ko'rsatilgan yo'nalishlarning qaysi biridan harakat qilish mumkin?,Faqat toʻgʻriga,True,Chapga va orqaga,False,"To'g'riga, chapga va orqaga",False,,,,,True,203,"YHQ 2-ilovasining 1-boʻlimi 1.11 chizig'iga asosan, 1.11 chizig'ini uzuq-uzuq tomondan, shuningdek, sidirgʻa chiziq tomonidan esa faqat quvib yoki chetlab o'tishni tugatayotganda bosib o'tishga ruxsat etiladi."
204,Transport vositalari chorrahani quyidagi tartibda kesib oʻtadilar:,"Mototsikl, avtomobil, tramvay",True,"Tramvay, avtomobil, mototsikl",False,"Tramvay, mototsikl, avtomobil",False,,,,,True,204,"YHQ 16-bobi 104, 106-bandiga asosan, teng ahamiyatga ega boʻlmagan yo'llar kesishgan chorrahada, keyingi harakat yo'nalishidan qat'i nazar, asosiy yo'ldan kelayotgan transport vositasiga ikkinchi darajali yo'ldan kelayotgan transport vositasining haydovchisi yo'l berishi kerak. Asosiy yo'lning yo'nalishi chorrahada o'zgarganda, asosiy yo'lda harakatlanayotgan haydovchilar oʻzaro teng ahamiyatli yoʻllar chorrahasidan o'tish qoidasiga amal qilishlari kerak. Ikkinchi darajali yo'llarda harakatlanayotgan haydovchilar ham oʻzaro shu qoidaga amal qilishlari lozim."
205,Chorrahani ikkinchi bo'lib kesib o'tadi:,Qizil avtomobil,False,Ko'k avtomobil,True,Yashil avtomobil,False,,,,,True,205,"YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart."
206,Yo'lning yoritilmagan qismlarida qorong'i vaqtda to'xtaganda gabarit chiroqlari nosoz bo'lsa:,Yaqinni yorituvchi faralarni yoqish,False,O'ngroqqa olish va yaqinni yorituvchi farani yoqish zarur,False,"Transport vositasini yo'ldan tashqariga chiqarish, agar buning iloji bo'lmasa mazkur qoidalar talablariga binoan uni belgilash lozim",True,,,,,False,1,"YHQ 23-bobi 136-bandiga asosan, qorong'i vaqtda yo'lning yoritilmagan qismida, shuningdek, yetarlicha ko'rinmaydigan sharoitda to'xtagan yoki to'xtab turgan transport vositasida gabarit chiroqlari yoqilgan bo'lishi kerak."
207,Bu joyda to'xtash mumkinmi?,Mumkin,False,Taqiqlangan,True,,,,,,,True,207,"YHQ 13-bobi 88-bandi 2-xatboshiga asosan, aholi punktlarida yo'llarning chap tomonida to'xtash va to'xtab turishga har yo'nalishda bittadan harakatlanish bo'lagi bo'lgan va o'rtada tramvay izi bo'lmagan hamda harakat faqat bir tomonlama bo'lgan yo'llarda ruxsat etiladi."
208,Harakatlanish mumkin bo'lgan yo'nalish qaysi rasmda ko'rsatilgan?,Chapdagi rasmda,False,Pastdagi rasmda,False,O'ngdagi rasmda,True,Oʻrtadagi va o'ngdagi rasmda,False,,,True,208,"YHQ 1-ilovasining 3-boʻlimi 3.19 belgi talabiga asosan, faqat qayrilish taqiqlanadi."
